Id,Label,timeset,username,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1,,,tsukianul,0,10,10,0,11,11,0,0,1,1,1,0
2,,,natecurlsquad,4,9,13,6,11,17,0.083333,0.026749,1,1,1,24
3,,,frenchpressplz,3,1,4,3,1,4,0.333333,0.020061,0,0,0,0
4,,,Glossmeraldo,0,1,1,0,1,1,0,0,1,1,1,0
5,,,Eyesonnathan,0,11,11,0,11,11,0,0,2,0.923077,0.958333,0
6,,,judejinjin,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
7,,,terpointoh,4,1,5,4,1,5,0.25,0.124587,0,0,0,0
8,,,sofigurein,16,30,46,18,32,50,0.022727,0.106994,2,0.891892,0.939394,494
9,,,tailandtadashi,2,27,29,2,30,32,0.035714,0.013374,5,0.49359,0.615152,77
10,,,OlympicChenpion,10,23,33,11,24,35,0.032258,0.066871,3,0.733333,0.828283,297
11,,,Honeywater1214,0,23,23,0,23,23,0,0,3,0.84375,0.919753,0
12,,,strawberryhoes,42,2,44,48,5,53,0.024363,0.475446,1,1,1,92
13,,,JohnGot76853756,1,1,2,1,1,2,0,0.006687,0,0,0,0
14,,,chicken20549036,0,21,21,0,24,24,0,0,2,0.956522,0.977273,0
15,,,Valerie07390730,0,7,7,0,7,7,0,0,1,1,1,0
16,,,icy_blue0505,2,19,21,2,19,21,0.05,0.013374,2,0.640625,0.719512,41
17,,,NGU_MnN,0,14,14,0,15,15,0,0,2,0.9375,0.966667,0
18,,,Dennis64403986,0,1,1,0,2,2,0,0,1,1,1,0
19,,,yuzutoaki,0,1,1,0,1,1,0,0,1,1,1,0
20,,,lilacwinoz,1,1,2,1,1,2,0,0.006687,0,0,0,0
21,,,AlumniHopkins,1,1,2,1,1,2,0,0.006687,0,0,0,0
22,,,briarhoes,1,1,2,1,1,2,0,0.006687,0,0,0,0
23,,,Kat_Roaster,1,1,2,1,1,2,0,0.006687,0,0,0,0
24,,,InnovatorBiz,8,1,9,8,1,9,0.125,0.053497,0,0,0,0
25,,,aphmoney,0,2,2,0,2,2,0,0,1,1,1,0
26,,,jakefromAR,0,2,2,0,2,2,0,0,1,1,1,0
27,,,stayhealthy505,0,5,5,0,5,5,0,0,1,1,1,0
28,,,GraceYu0329,0,8,8,0,9,9,0,0,3,0.733333,0.848485,0
29,,,captmorgsas,0,1,1,0,1,1,0,0,1,1,1,0
30,,,Liddell_0124,0,11,11,0,12,12,0,0,2,0.923077,0.958333,0
31,,,DBinSydney,0,1,1,0,1,1,0,0,1,1,1,0
32,,,MSN,22,1,23,25,4,29,0.045455,0.161094,0,0,0,0
33,,,fromisbeom,0,1,1,0,1,1,0,0,1,1,1,0
34,,,MaiiSabai,0,9,9,0,9,9,0,0,1,1,1,0
35,,,ChrisCasquejo,0,1,1,0,1,1,0,0,1,1,1,0
36,,,melissa07111,0,2,2,0,2,2,0,0,2,0.6,0.666667,0
37,,,Juncidis,0,2,2,0,2,2,0,0,3,0.484848,0.53125,0
38,,,xtalayuzu,0,4,4,0,4,4,0,0,1,1,1,0
39,,,Josephc34923938,1,1,2,1,1,2,0,0.006687,0,0,0,0
40,,,tackyandwilson,20,5,25,31,14,45,0.04529,0.210616,2,0.75,0.833333,199
41,,,raspmarytea,0,7,7,0,11,11,0,0,3,0.608696,0.72619,0
42,,,lulumediainc,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
43,,,chr1ie,1,1,2,1,1,2,0,0.006687,0,0,0,0
44,,,Chaleck,3,1,4,3,1,4,0.333333,0.048015,0,0,0,0
45,,,EeV5IDoLiCxMPr5,0,3,3,0,3,3,0,0,1,1,1,0
46,,,LiraAlaya,8,2,10,8,2,10,0.111111,0.053497,1,1,1,7
47,,,BrianncaTV,74,1,75,120,45,165,0.013514,0.519308,0,0,0,0
48,,,NancyLFulmer1,3,1,4,6,4,10,0.333333,0.020061,0,0,0,0
49,,,vivicardashian,2,1,3,2,1,3,0.5,0.013374,0,0,0,0
50,,,kirakumamaFS,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
51,,,AlbertCamus82,3,1,4,3,1,4,0.333333,0.034038,0,0,0,0
52,,,PYGOSCELIS_SKT,4,12,16,4,12,16,0.071429,0.026749,3,0.666667,0.787037,53
53,,,SC0369,0,7,7,0,7,7,0,0,2,0.888889,0.9375,0
54,,,shiratori5610,0,2,2,0,2,2,0,0,3,0.5,0.583333,0
55,,,1DougSimpson,0,1,1,0,1,1,0,0,1,1,1,0
56,,,yuko_takechan,2,6,8,2,6,8,0.142857,0.028885,1,1,1,30
57,,,carter_embrey,0,1,1,0,1,1,0,0,1,1,1,0
58,,,DaseinNa_,0,1,1,0,1,1,0,0,1,1,1,0
59,,,highpusheen,0,1,1,0,1,1,0,0,1,1,1,0
60,,,wlai,0,1,1,0,1,1,0,0,1,1,1,0
61,,,malami881,0,1,1,0,1,1,0,0,1,1,1,0
62,,,purple_jiujiu,0,1,1,0,1,1,0,0,1,1,1,0
63,,,ShizueNhi,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
64,,,Rilabu2,0,2,2,0,2,2,0,0,3,0.5,0.583333,0
65,,,42kaiko,0,1,1,0,1,1,0,0,3,0.466667,0.52381,0
66,,,yukikonatsuharu,0,32,32,0,37,37,0,0,3,0.653061,0.744792,0
67,,,kaibernierchen,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
68,,,poppo_skate,0,1,1,0,1,1,0,0,2,0.666667,0.75,0
69,,,shoshpd,1,11,12,1,11,12,0.090909,0.006687,2,0.916667,0.954545,0
70,,,callofthewind,1,6,7,1,6,7,0.166667,0.006687,2,0.857143,0.916667,0
71,,,NativeFlowers,0,2,2,0,2,2,0,0,2,0.75,0.833333,0
72,,,SpillbergS,2,1,3,4,3,7,0.5,0.027351,0,0,0,0
73,,,pearlspins,4,5,9,4,5,9,0.125,0.026749,1,1,1,12
74,,,beva5678,14,1,15,16,3,19,0.071429,0.100608,0,0,0,0
75,,,goggiebooty,0,1,1,0,1,1,0,0,1,1,1,0
76,,,justine_wu,0,2,2,0,2,2,0,0,1,1,1,0
77,,,rondokitty,3,5,8,3,6,9,0.190476,0.020061,1,1,1,6
78,,,vanillasallt,0,1,1,0,1,1,0,0,1,1,1,0
